,prot,cath,jew,none,other,budd,hind,east,islam,orth,chris,native,inter,total
,prot,cath,jew,none,other,other,other,other,other,other,prot,other,other,total
1972,1002.3,440,48.4,82.2,30.6,0,0,0,0,0,0,0,0,1603.5
1973,924.6,394.5,41,99,36.5,0,0,0,0,0,0,0,0,1495.7
1974,939,386.5,44.7,103.9,8.4,0,0,0,0,0,0,0,0,1482.5
1975,962.4,376.8,22.8,108.6,16.8,0,0,0,0,0,0,0,0,1487.4
1976,938.2,410.5,25.8,110.3,13.6,0,0,0,0,0,0,0,0,1498.4
1977,988.1,395.4,32.1,89.9,17.3,0,0,0,0,0,0,0,0,1522.8
1978,963.4,395,25,128.4,17.5,0,0,0,0,0,0,0,0,1529.4
1980,943.7,363,28.9,98.5,27.6,0,0,0,0,0,0,0,0,1461.8
1982,1196.6,467.7,36,126,21.7,0,0,0,0,0,0,0,0,1848
1983,997.9,437,43.4,112.3,25.1,0,0,0,0,0,0,0,0,1615.7
1984,915.6,389.3,27.2,104.1,21.3,0,0,0,0,0,0,0,0,1457.5
1985,970.8,413.6,31.6,106.4,20,0,0,0,0,0,0,0,0,1542.4
1986,897.7,402,36.8,101.3,29.7,0,0,0,0,0,0,0,0,1467.5
1987,1182.7,447.6,24.1,129.6,38.3,0,0,0,0,0,0,0,0,1822.3
1988,891.7,400.4,30.2,114,40.8,0,0,0,0,0,0,0,0,1477.1
1989,954.2,400.9,22.9,119.8,32.6,0,0,0,0,0,0,0,0,1530.5
1990,855.2,334.6,25.4,105.5,44.6,0,0,0,0,0,0,0,0,1365.3
1991,957.2,406,29.1,94.9,25.4,0,0,0,0,0,0,0,0,1512.7
1993,1010.4,368.7,32.8,143.6,44.5,0,0,0,0,0,0,0,0,1600
1994,1739.8,801.2,57.2,266.9,111.8,0,0,0,0,0,0,0,0,2976.9
1996,1639,703.5,61.4,345.7,152.8,0,0,0,0,0,0,0,0,2902.5
1998,1498.2,730.9,49,383.4,30.3,8.2,7.7,2.8,14.8,9.9,35.2,3.3,17,2790.6
2000,1484.9,716.6,62.7,397.7,35.8,16.5,11,0.6,16.5,13.8,38,4.4,18.7,2816.9
2002,1444.2,701.8,40.9,379.7,20.7,23.5,4.5,1.7,15.1,26.8,62.1,5,29.7,2755.6
2004,1444.7,692.9,57.9,393.8,34.3,12,14.3,13,19.8,18.1,72.9,1.9,26.2,2801.8
2006,2251.7,1200.4,85.8,710.6,35.6,36.3,13.9,1.3,20.5,17.3,99.5,2.6,5.3,4480.8
2008,1005.1,505.7,34.3,339,12.7,12.7,8.7,3.5,14.6,9.6,68.9,0.4,2.2,2017.3
2010,949.6,513.1,33.3,365.3,22.6,19.2,3.2,2.3,13.1,7.7,86.3,1.4,15.4,2032.7
