CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
24894,1990,5.30000000000000027e-01,2,65,1, 5, 5, 0,0,0,0,0, 0,16,71.6,12,12,0,0,0, -1,-1,0, -1,-1
24895,1990,5.30000000000000027e-01,1,42,1, 4, 1,60,0,0,0,0, 0,20,53.3,12,12,0,0,0, -1,-1,0, -1,-1
24896,1990,1.06000000000000005e+00,1,25,1, 1, 1,43,0,0,0,0, 0,16,63.5,13,13,0,0,0, -1,-1,0, -1,-1
24897,1990,1.06000000000000005e+00,2,39,1, 4, 3, 0,0,0,0,0, 0,14,50.5,12,12,0,0,0, -1,-1,0, -1,-1
24898,1990,5.30000000000000027e-01,1,55,2, 1, 1,20,0,0,0,0, 0, 8,28.6, 8, 0,0,0,0, -1,-1,0, -1,-1
24899,1990,5.30000000000000027e-01,2,82,2, 1, 1,10,0,0,0,0, 0, 8,17.1, 8, 0,0,0,0, -1,-1,0, -1,-1
24900,1990,5.30000000000000027e-01,2,54,2, 1, 1,50,0,0,0,0, 0,19,78.5,13,13,0,0,0, -1,-1,0, -1,-1
24901,1990,2.12999999999999989e+00,1,61,1, 3, 3, 0,0,0,0,0, 3,12,40.0,12,12,0,0,0, -1,-1,0, -1,-1
24902,1990,1.06000000000000005e+00,2,53,1, 3, 3, 0,0,0,0,0, 3,14,36.9,12,10,0,0,0, -1,-1,0, -1,-1
24903,1990,1.06000000000000005e+00,1,68,1, 3, 3, 0,0,0,0,0, 0,12,54.2,12, 0,0,0,0, -1,-1,0, -1,-1
24904,1990,5.30000000000000027e-01,2,69,1, 2, 2, 0,0,0,0,0, 0,12,38.4,10, 0,0,0,0, -1,-1,0, -1,-1
24905,1990,1.06000000000000005e+00,1,79,1, 2, 2, 0,0,0,0,0, 2, 5,36.5,98, 0,0,0,0, -1,-1,0, -1,-1
24906,1990,5.30000000000000027e-01,2,65,1, 2, 2, 0,0,0,0,0, 0,10,33.9, 4, 0,0,0,0, -1,-1,0, -1,-1
24907,1990,5.30000000000000027e-01,2,79,1, 3, 3, 0,0,0,0,0, 0,12,-1.0,13, 0,0,0,0, -1,-1,0, -1,-1
24908,1990,1.06000000000000005e+00,1,66,2, 1, 1,14,0,0,0,0, 1, 6,29.2,12, 0,0,0,0, -1,-1,0, -1,-1
24909,1990,1.06000000000000005e+00,2,28,2, 4, 1,18,0,0,0,0, 0,12,45.8,13, 0,0,0,0, -1,-1,0, -1,-1
24910,1990,5.30000000000000027e-01,1,89,1, 3, 3, 0,0,0,0,0, 0,14,38.1,13, 0,0,0,0, -1,-1,0, -1,-1
24911,1990,5.30000000000000027e-01,1,76,1, 3, 3, 0,0,0,0,0, 0, 8,54.2, 9, 0,0,0,0, -1,-1,0, -1,-1
24912,1990,1.59000000000000008e+00,2,51,2, 1, 1,50,0,0,0,0, 1, 8,39.9,12,10,0,0,0, -1,-1,0, -1,-1
24913,1990,1.06000000000000005e+00,2,50,2, 1, 1,22,0,0,0,0, 1,16,53.5,12,12,0,0,0, -1,-1,0, -1,-1
24914,1990,1.06000000000000005e+00,2,34,2, 2, 2, 0,0,0,0,0, 4,12,37.7,13,13,0,0,0, -1,-1,0, -1,-1
24915,1990,1.06000000000000005e+00,1,46,2, 1, 1,28,0,0,0,0, 0,12,32.3,12, 9,0,0,0, -1,-1,0, -1,-1
24916,1990,5.30000000000000027e-01,1,38,3, 4, 4, 0,0,0,0,0, 0, 9,28.6, 8, 8,0,0,0, -1,-1,0, -1,-1
24917,1990,1.06000000000000005e+00,2,25,3, 2, 2, 0,0,0,0,0, 4, 9,-1.0,13, 0,0,0,0, -1,-1,0, -1,-1
24918,1990,1.59000000000000008e+00,1,25,2, 2, 2, 0,0,0,0,0, 0,15,64.2,12,12,0,0,0, -1,-1,0, -1,-1
24919,1990,5.30000000000000027e-01,1,31,3, 4, 2, 0,0,0,0,0, 0, 8,33.9, 7, 7,0,0,0, -1,-1,0, -1,-1
24920,1990,2.66000000000000014e+00,2,23,1, 4, 2, 0,0,0,0,0, 0,12,50.7,12,11,0,0,0, -1,-1,0, -1,-1
24921,1990,5.30000000000000027e-01,1,30,2, 1, 1,14,0,0,0,0, 0,12,-1.0, 3, 0,0,0,0, -1,-1,0, -1,-1
24922,1990,1.06000000000000005e+00,2,33,2, 1, 1,60,0,0,0,0, 4,14,29.3,12,10,0,0,0, -1,-1,0, -1,-1
24923,1990,1.06000000000000005e+00,2,53,2, 1, 1,22,0,0,0,0, 1,14,29.3,12,12,0,0,0, -1,-1,0, -1,-1
24924,1990,5.30000000000000027e-01,2,39,2, 1, 1,20,0,0,0,0, 0, 9,-1.0, 8, 0,0,0,0, -1,-1,0, -1,-1
24925,1990,2.12999999999999989e+00,1,19,2, 2, 2, 0,0,0,0,0, 0,10,-1.0,98, 0,0,0,0, -1,-1,0, -1,-1
24926,1990,1.06000000000000005e+00,2,35,2, 1, 1,18,0,0,0,0, 1,15,69.2,12,10,0,0,0, -1,-1,0, -1,-1
24927,1990,5.30000000000000027e-01,2,36,2, 1, 5, 0,0,0,0,0, 0,13,38.4,11,11,0,0,0, -1,-1,0, -1,-1
24928,1990,5.30000000000000027e-01,2,32,3, 2, 2, 0,0,0,0,0, 0,11,-1.0, 9, 0,0,0,0, -1,-1,0, -1,-1
24929,1990,1.06000000000000005e+00,2,27,3, 2, 2, 0,0,0,0,0, 2,12,-1.0,98, 0,0,0,0, -1,-1,0, -1,-1
24930,1990,5.30000000000000027e-01,1,38,3, 2, 2, 0,0,0,0,0, 0,13,45.8,12,12,0,0,0, -1,-1,0, -1,-1
24931,1990,1.06000000000000005e+00,2,24,1, 2, 2, 0,0,0,0,0, 0,12,29.3, 3, 0,0,0,0, -1,-1,0, -1,-1
24932,1990,1.06000000000000005e+00,1,43,1, 4, 2, 0,0,0,0,0, 1,16,50.7,12,11,0,0,0, -1,-1,0, -1,-1
24933,1990,1.06000000000000005e+00,2,47,1, 2, 2, 0,0,0,0,0, 2,11,46.7,12, 0,0,0,0, -1,-1,0, -1,-1
24934,1990,1.06000000000000005e+00,1,68,1, 1, 1,30,0,0,0,0, 2,16,50.7,11, 0,0,0,0, -1,-1,0, -1,-1
24935,1990,5.30000000000000027e-01,2,64,1, 3, 3, 0,0,0,0,0, 0,16,78.5,12,12,0,0,0, -1,-1,0, -1,-1
24936,1990,1.06000000000000005e+00,1,54,1, 3, 3, 0,0,0,0,0, 3,16,63.5,12,12,0,0,0, -1,-1,0, -1,-1
24937,1990,1.06000000000000005e+00,1,36,1, 3, 1,40,0,0,0,0, 3,18,63.5,12,12,0,0,0, -1,-1,0, -1,-1
24938,1990,1.06000000000000005e+00,2,44,1, 1, 1,35,0,0,0,0, 2,12,38.5,12,11,0,0,0, -1,-1,0, -1,-1
24939,1990,1.06000000000000005e+00,1,28,1, 2, 2, 0,0,0,0,0, 2,12,63.5,12,11,0,0,0, -1,-1,0, -1,-1
24940,1990,1.06000000000000005e+00,2,22,1, 2, 4, 0,0,0,0,0, 2,10,-1.0,12, 0,0,0,0, -1,-1,0, -1,-1
24941,1990,1.06000000000000005e+00,2,38,1, 5, 5, 0,0,0,0,0, 0,14,73.3,12,12,0,0,0, -1,-1,0, -1,-1
24942,1990,1.59000000000000008e+00,2,47,1, 1, 2, 0,0,0,0,0, 1,12,17.1,98,98,0,0,0, -1,-1,0, -1,-1
24943,1990,1.06000000000000005e+00,1,21,3, 5, 5, 0,0,0,0,0, 0,12,37.4,11, 9,0,0,0, -1,-1,0, -1,-1
24944,1990,5.30000000000000027e-01,2,33,1, 1, 1,11,0,0,0,0, 0,12,60.5,10,10,0,0,0, -1,-1,0, -1,-1
24945,1990,1.06000000000000005e+00,1,58,1, 4, 1,38,0,0,0,0, 1, 8,31.3,12,12,0,0,0, -1,-1,0, -1,-1
24946,1990,1.06000000000000005e+00,2,36,1, 1, 1,40,0,0,0,0, 1,12,29.3,10, 0,0,0,0, -1,-1,0, -1,-1
24947,1990,5.30000000000000027e-01,1,33,1, 2, 2, 0,0,0,0,0, 0,12,38.1,10,10,0,0,0, -1,-1,0, -1,-1
24948,1990,1.06000000000000005e+00,1,26,2, 1, 1,60,0,0,0,0, 0,12,33.1,98,98,0,0,0, -1,-1,0, -1,-1
24949,1990,1.06000000000000005e+00,1,57,1, 4, 1,70,0,0,0,0, 0,17,40.0, 4, 4,0,0,0, -1,-1,0, -1,-1
24950,1990,1.06000000000000005e+00,2,31,1, 2, 1,28,0,0,0,0, 2,14,64.2,12, 9,0,0,0, -1,-1,0, -1,-1
24951,1990,1.06000000000000005e+00,1,61,2, 1, 1,14,0,0,0,0, 1,12,50.7,12,11,0,0,0, -1,-1,0, -1,-1
