CASEID,YEAR,AGE,SEX,RACE,HISPANIC,RELIG,COHORT,BIRTHMO,PARELIG,PAYRBORN,MARELIG,MAYRBORN
    1,1972,23,2,1, 0, 3,1949, 0,0,   0,0,   0
    2,1972,70,1,1, 0, 2,1902, 0,0,   0,0,   0
    3,1972,48,2,1, 0, 1,1924, 0,0,   0,0,   0
    4,1972,27,2,1, 0, 5,1945, 0,0,   0,0,   0
    5,1972,61,2,1, 0, 1,1911, 0,0,   0,0,   0
    6,1972,26,1,1, 0, 1,1946, 0,0,   0,0,   0
    7,1972,28,1,1, 0, 2,1944, 0,0,   0,0,   0
    8,1972,27,1,1, 0, 3,1945, 0,0,   0,0,   0
    9,1972,21,2,2, 0, 1,1951, 0,0,   0,0,   0
   10,1972,30,2,2, 0, 1,1942, 0,0,   0,0,   0
   11,1972,30,2,2, 0, 1,1942, 0,0,   0,0,   0
   12,1972,56,1,2, 0, 1,1916, 0,0,   0,0,   0
   13,1972,54,1,2, 0, 1,1918, 0,0,   0,0,   0
   14,1972,49,2,2, 0, 1,1923, 0,0,   0,0,   0
   15,1972,41,1,2, 0, 1,1931, 0,0,   0,0,   0
   16,1972,54,1,2, 0, 1,1918, 0,0,   0,0,   0
   17,1972,24,1,1, 0, 1,1948, 0,0,   0,0,   0
   18,1972,62,2,1, 0, 1,1910, 0,0,   0,0,   0
   19,1972,46,2,1, 0, 1,1926, 0,0,   0,0,   0
   20,1972,21,2,1, 0, 1,1951, 0,0,   0,0,   0
   21,1972,57,1,1, 0, 1,1915, 0,0,   0,0,   0
   22,1972,58,1,1, 0, 1,1914, 0,0,   0,0,   0
   23,1972,21,1,1, 0, 1,1951, 0,0,   0,0,   0
   24,1972,26,2,1, 0, 1,1946, 0,0,   0,0,   0
   25,1972,71,2,1, 0, 1,1901, 0,0,   0,0,   0
   26,1972,53,2,1, 0, 2,1919, 0,0,   0,0,   0
   27,1972,42,1,1, 0, 1,1930, 0,0,   0,0,   0
   28,1972,42,2,1, 0, 1,1930, 0,0,   0,0,   0
   29,1972,20,1,1, 0, 1,1952, 0,0,   0,0,   0
   30,1972,23,1,1, 0, 1,1949, 0,0,   0,0,   0
   31,1972,26,1,1, 0, 1,1946, 0,0,   0,0,   0
   32,1972,25,2,1, 0, 1,1947, 0,0,   0,0,   0
   33,1972,26,1,1, 0, 1,1946, 0,0,   0,0,   0
   34,1972,78,2,1, 0, 1,1894, 0,0,   0,0,   0
   35,1972,21,1,1, 0, 1,1951, 0,0,   0,0,   0
   36,1972,27,1,1, 0, 2,1945, 0,0,   0,0,   0
   37,1972,58,2,1, 0, 1,1914, 0,0,   0,0,   0
   38,1972,35,2,1, 0, 1,1937, 0,0,   0,0,   0
   39,1972,58,1,1, 0, 1,1914, 0,0,   0,0,   0
   40,1972,51,2,1, 0, 1,1921, 0,0,   0,0,   0
   41,1972,76,2,1, 0, 1,1896, 0,0,   0,0,   0
   42,1972,53,1,1, 0, 1,1919, 0,0,   0,0,   0
   43,1972,39,1,1, 0, 1,1933, 0,0,   0,0,   0
   44,1972,64,2,1, 0, 1,1908, 0,0,   0,0,   0
   45,1972,50,2,1, 0, 2,1922, 0,0,   0,0,   0
   46,1972,27,2,1, 0, 1,1945, 0,0,   0,0,   0
   47,1972,25,1,1, 0, 2,1947, 0,0,   0,0,   0
   48,1972,49,1,1, 0, 1,1923, 0,0,   0,0,   0
   49,1972,40,1,1, 0, 1,1932, 0,0,   0,0,   0
