CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,INCOME,RINCOME,PASEI,MASEI,INTRHOME,WWWHR
35285,1998,5.50000000000000044e-01,1,60,1, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,7,    0,0, 0,  0, ,0,7,    0, 0, 0,  0, ,0,0, 0, 1, 1,12,12,12,38.1,12,12,28.6,32.4,0, -1
35286,1998,5.50000000000000044e-01,2,27,1, 1,50,  0,3, 1,50,  0,3,0, 0,  0, ,0,1,50000,0, 0,  0, ,0,1,50000, 0, 0,  0, ,0,0, 0, 7, 7,17,20,97,29.3,10,10,92.3,-1.0,0, -1
35287,1998,5.50000000000000044e-01,1,36,1, 1,50,  0,3, 1,23,  0,1,0, 0,  0, ,0,1,23000,0, 0,  0, ,0,1,23000, 0, 0,  0, ,0,0, 0, 9, 8,12,12,12,78.7,12,12,48.8,26.4,0, -1
35288,1998,1.10000000000000009e+00,1,21,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,98,98,13,97,12,33.9,10,10,-1.0,33.9,0, -1
35289,1998,5.50000000000000044e-01,2,35,1, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,97,12,63.5,12,12,-1.0,38.4,0, -1
35290,1998,5.50000000000000044e-01,1,33,1, 1,70,  0,2, 1,38,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16, 9, 6,64.4,11, 0,37.7,-1.0,0, -1
35291,1998,5.50000000000000044e-01,1,43,1, 1,70,  0,2, 1,48,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12,14,12,54.9,12,12,60.5,-1.0,0, -1
35292,1998,1.64999999999999991e+00,1,29,1, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 8, 8,13,16,12,76.3,12,12,86.6,33.6,0, -1
35293,1998,1.10000000000000009e+00,2,39,1, 1,22,  0,3, 1,14,  0,1,0, 0,  0, ,0,1,18000,0, 0,  0, ,0,1,18000, 0, 0,  0, ,0,0, 0,99,99,18,16,12,78.5,98,98,65.8,38.4,0, -1
35294,1998,5.50000000000000044e-01,1,45,1,13, 0,  0,9, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,15,16,12,86.6,12,12,86.6,38.9,0, -1
