CASEID,YEAR,COMPWT,SEX,AGE,RACE,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,PASEI,MASEI,INTRHOME
51021,2008,4.40000000000000002e-01,1,49,3,1,8,4,5, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 4, 8,12,12,12,28.4,28.4,33.1,1
51022,2008,4.40000000000000002e-01,1,48,3,2,8,4,2, 1,50,  0,3, 1,50,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,22,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,20,97,12,76.4,-1.0,27.5,1
51023,2008,2.14000000000000012e+00,1,47,2,1,0,0,1, 4, 0,  0,3, 1,21,  0,2,0, 0,  0, ,0,7,    0,0, 0,  0, ,0,1,21000, 1,18,  0, ,1,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1, 8,13,97,16,37.8,-1.0,38.0,2
51024,2008,1.31000000000000005e+00,1,32,2,1,0, ,1, 1,18,  0,1, 1,18,  0,1,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,1,18000, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,10, 3,10,97,12,35.1,-1.0,37.7,0
51025,2008,4.40000000000000002e-01,2,37,2,2,8,4,2, 1,18,  0,1, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,12,12,12,29.3,34.3,25.5,1
51026,2008,8.80000000000000004e-01,1,72,2,1,0,0,2, 2, 0,  0,2, 1,10,  0,1,0, 0,  0, ,0,1,99998,0, 0,  0, ,0,1,99998, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98, 7,16,98,12,87.9,36.4,-1.0,2
51027,2008,1.75000000000000000e+00,2,21,2,2,8,4,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 7, 6,12,16,16,33.1,28.6,29.3,0
51028,2008,1.07000000000000006e+00,2,36,2,2,0,4,1, 4, 0,  0,3,11,70,  0,2,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,1,60031, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98, 6,12,98,12,76.4,37.3,-1.0,2
51029,2008,4.40000000000000002e-01,2,48,2,2,8,4,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,14, 8, 8,80.9,37.3,-1.0,2
51030,2008,4.40000000000000002e-01,2,56,2,2,8,4,1, 1,60, 20,2, 1,60, 20,2,0, 0,  0, ,0,1,60020,0, 0,  0, ,0,1,60020, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,10, 6, 9,98, 9,36.5,72.0,-1.0,0
